olympic_year,medal_type,country,country_code,player_name
1964 Tokyo,gold,Soviet Union,URS,Ivans Bugajenkovs
1964 Tokyo,gold,Soviet Union,URS,Nikolay Burobin
1964 Tokyo,gold,Soviet Union,URS,Yuri Chesnokov
1964 Tokyo,gold,Soviet Union,URS,Vazha Kacharava
1964 Tokyo,gold,Soviet Union,URS,Valeri Kalachikhin
1964 Tokyo,gold,Soviet Union,URS,Vitali Kovalenko
1964 Tokyo,gold,Soviet Union,URS,Staņislavs Lugailo
1964 Tokyo,gold,Soviet Union,URS,Georgy Mondzolevski
1964 Tokyo,gold,Soviet Union,URS,Yuriy Poyarkov
1964 Tokyo,gold,Soviet Union,URS,Eduard Sibiryakov
1964 Tokyo,gold,Soviet Union,URS,Yury Vengerovsky
1964 Tokyo,gold,Soviet Union,URS,Dmitri Voskoboynikov
1964 Tokyo,silver,Czechoslovakia,TCH,Milan Čuda
1964 Tokyo,silver,Czechoslovakia,TCH,Bohumil Golián
1964 Tokyo,silver,Czechoslovakia,TCH,Zdeněk Humhal
1964 Tokyo,silver,Czechoslovakia,TCH,Petr Kop
1964 Tokyo,silver,Czechoslovakia,TCH,Josef Labuda
1964 Tokyo,silver,Czechoslovakia,TCH,Josef Musil
1964 Tokyo,silver,Czechoslovakia,TCH,Karel Paulus
1964 Tokyo,silver,Czechoslovakia,TCH,Boris Perušič
1964 Tokyo,silver,Czechoslovakia,TCH,Pavel Schenk
1964 Tokyo,silver,Czechoslovakia,TCH,Václav Šmídl
1964 Tokyo,silver,Czechoslovakia,TCH,Josef Šorm
1964 Tokyo,silver,Czechoslovakia,TCH,Ladislav Toman
1964 Tokyo,bronze,Japan,JPN,Yutaka Demachi
1964 Tokyo,bronze,Japan,JPN,Tsutomu Koyama
1964 Tokyo,bronze,Japan,JPN,Sadatoshi Sugahara
1964 Tokyo,bronze,Japan,JPN,Naohiro Ikeda
1964 Tokyo,bronze,Japan,JPN,Yasutaka Sato
1964 Tokyo,bronze,Japan,JPN,Toshiaki Kosedo
1964 Tokyo,bronze,Japan,JPN,Tokihiko Higuchi
1964 Tokyo,bronze,Japan,JPN,Masayuki Minami
